name,code,increase_rate,day_after,negative_day,win_rate
zhongxing,sz.000063,0.18,4,1,0.86
langchao,sz.000977,0.24,5,0,1.0
lixunjingmi,sz.002475,0.24,1,1,0.83
hengshengdianzi,sh.600570,0.10,5,0,0.83
hengshengdianzi,sh.600570,0.20,3,1,0.88
chenguangwenju,sh.603899,0.24,3,0,0.88
zhaoyichuangxin,sh.603986,0.10,1,1,0.82
yiweilineng,sz.300014,0.22,3,0,0.86
jingdongfangA,sz.000725,0.22,1,0,1.0
wuliangye,sz.000858,0.22,1,0,0.875
muyuangufen,sz.002714,0.14,4,1,0.933
muyuangufen,sz.002714,0.20,3,1,1.0
muyuangufen,sz.002714,0.20,3,0,0.9
zhuoshengwei,sz.300782,0.04,4,0,0.857
beifanghuachuang,sz.002371,0.12,3,0,0.826
beifanghuachuang,sz.002371,0.22,3,1,0.857
siweituxin,sz.002405,0.18,5,1,1.0
wangsukeji,sz.300017,0.10,2,1,0.857
shuanghuifazhan,sz.000895,0.24,5,0.778
xinchengkonggu,sh.601155,0.24,3,1,0.818
jingshengjidian,sz.300316,0.24,1,1,0.875
weichaidongli,sz.000338,0.16,2,0,0.857
mingyangzhineng,sh.601615,0.04,4,0,0.889
mingyangzhineng,sh.601615,0.08,4,0,0.867
mingyangzhineng,sh.601615,0.12,4,0,0.857
zhongguojianzhu,sh.601668,0.22,5,1,0.818
gongshangyinhang,sh.601398,0.14,5,0,0.818
yuantongsudi,sh.600233,0.18,4,1,0.875
yuantongsudi,sh.600233,0.18,5,1,0.875
lepuyiliao,sz.300003,0.22,1,0,0.857
