name,code,drop_scope,average_type,day_after,win_rate
langchao,sz.000977,-3.0,10days,4,0.909
pingan,sz.000001,-4.0,30days,1,0.875
jinshi,sh.603505,-4.5,10days,5,0.875
haixiang,sz.002099,-4.5,30days,1,0.857
lixunjingmi,sz.002475,-4.0,10days,1,1.0
lixunjingmi,sz.002475,-3.0,10days,1,0.818
hualan,sz.002007,-5.5,15days,2,0.889
hengshengdianzi,sh.600570,-5.0,30days,1,1.0
hengshengdianzi,sh.600570,-4.5,15days,1,0.889
hengshengdianzi,sh.600570,-3.0,10days,1,0.889
hengshengdianzi,sh.600570,-0.5,10days,1,0.846
chenguangwenju,sh.603899,-4.0,30days,1,0.875
chenguangwenju,sh.603899,-2.5,15days,1,0.917
chenguangwenju,sh.603899,-2.0,15days,1,0.857
zhongguoruanjian,sh.600536,-8.0,10days,4,0.875
zhongguoruanjian,sh.600536,-6.5,15days,4,0.833
yiweilineng,sz.300014,-5.0,10days,1,1.0
yiweilineng,sz.300014,-4.0,10days,1,0.857
yiweilineng,sz.300014,-2.0,10days,1,0.85
jingdongfangA,sz.000725,-5.0,30days,1,0.889
jingdongfangA,sz.000725,-5.0,15days,1,0.889
jingdongfangA,sz.000725,-1.5,10days,1,0.846
jingdongfangA,sz.000725,-1.0,10days,1,0.813
haikangweishi,sz.002415,-3.0,10days,1,0.889
haikangweishi,sz.002415,-2.5,10days,1,0.9
gujiajiaju,sh.603816,-3.0,10days,1,0.857
hongtazhengquan,sh.60123,-2.0,15days,4,1.0
hongtazhengquan,sh.60123,0,15days,5,0.889
yili,sh.600887,-2.5,10days,4,0.875
yili,sh.600887,-0.5,10days,1,0.818
yili,sh.600887,-0.5,10days,4,0.818
xiandaozhineng,sz.300450,-7.0,15days,5,0.857
xiandaozhineng,sz.300450,-7.0,30days,5,0.857
kanghongyaoye,sz.002773,-4.5,15days,1,0.846
kanghongyaoye,sz.002773,-3.0,10days,4,0.875
kanghongyaoye,sz.002773,-1.5,10days,4,0.818
suboer,sz.002032,-3.0,15days,1,0.9
ningdeshidai,sz.300750,-3.5,30days,4,0.9
ningdeshidai,sz.300750,-3.0,30days,4,0.842
ningdeshidai,sz.300750,-2.0,15days,1,0.813
zhongshihua,sh.600028,-0.5,15days,5,0.917
wuliangye,sz.000858,-3,10days,4,0.875
wuliangye,sz.000858,0,10days,1,0.833
muyuangufen,sz.00271,-6.0,15days,1,1.0
muyuangufen,sz.00271,-5.0,30days,1,0.889
sanyizhonggong,sh.600031,-4.0,30days,4,0.889
sanyizhonggong,sh.600031,-1.5,15days,2,0.9
sanyizhonggong,sh.600031,-1.5,15days,1,0.9
zhongguoguolv,sh.601888,-5.0,30days,2,0.889
zhongguoguolv,sh.601888,-1.5,10days,1,0.889
zhongguoguolv,sh.601888,0,10days,1,0.846
ziguanggufen,sz.000938,-5.5,10days,1,0.889
ziguanggufen,sz.000938,-3.5,10days,1,0.875
ziguanggufen,sz.000938,-1.5,10days,1,0.842
shanghaijichang,sh.600009,-3.0,30days,4,0.9
shanghaijichang,sh.600009,-2.5,15days,2,0.889
shanghaijichang,sh.600009,0,15days,4,0.846
yongyouwangluo,sh.600588,-4.0,10days,3,0.875
yongyouwangluo,sh.600588,-4.0,15days,3,0.8125
shennandianlu,sz.002916,-5.5,10days,1,0.917
shennandianlu,sz.002916,-4.0,10days,1,0.867
shennandianlu,sz.002916,-3.5,10days,1,0.824
shengyikeji,sh.600183,-1.5,10days,2,0.833
shengyikeji,sh.600183,-5.5,10days,2,0.857
tianfengzhengquan,sh.601162,-2.5,10days,3,0.857
zhongguoweitong,sh.601698,-2.5,30days,5,0.889
dangshengkeji,sz.300073,-6.5,10days,1,0.9
dangshengkeji,sz.300073,-3.5,10days,1,0.894
dangshengkeji,sz.300073,-3.0,10days,1,0.818
mingyangzhineng,sh.601615,0,15days,2,0.95
mingyangzhineng,sh.601615,0,10days,2,0.875
huayouguye,sh.603799,-6.0,10days,3,0.923
haitianweiye,sh.603288,-4.0,30days,2,0.857
yonghuichaoshi,sh.601933,-4.0,30days,1,0.857
gongshangyinhang,sh.601398,0,15days,3,0.875
wenshigufen,sz.300498,-0.5,10days,2,0.9
wenshigufen,sz.300498,-5.0,15days,2,0.875
lepuyiliao,sz.300003,-2.0,10days,1,0.846
hengruiyiyao,sh.600276,0,10days,2,0.889
hengruiyiyao,sh.600276,0,10days,3,0.889
